Learning_Rate,Alpha,Accuracy,Recall
0.001,0.1,93.28214971209214,45.614035087719294
0.001,0.01,93.28214971209214,45.614035087719294
0.001,0.001,93.28214971209214,45.614035087719294
0.001,0.0001,93.28214971209214,45.614035087719294
0.01,0.1,93.28214971209214,45.614035087719294
0.01,0.01,93.28214971209214,45.614035087719294
0.01,0.001,93.28214971209214,45.614035087719294
0.01,0.0001,93.28214971209214,45.614035087719294
0.1,0.1,93.28214971209214,45.614035087719294
0.1,0.01,93.28214971209214,45.614035087719294
0.1,0.001,93.09021113243762,40.35087719298245
0.1,0.0001,92.89827255278311,38.59649122807017
0.0001,0.0001,86.9481765834933,14.035087719298245
0.0001,0.001,86.9481765834933,14.035087719298245
0.0001,0.01,86.9481765834933,14.035087719298245
0.0001,0.1,86.9481765834933,14.035087719298245
